trial,1,1,1428
tribunal,1,1,1429
tried,1,1,1430
truck,1,1,1431
turbulence,1,1,1432
turbulent,1,1,1433
turn,1,1,1434
turning,1,1,1435
two,5,4,1436
type,1,1,1440
un,2,2,1441
unaccounted,1,1,1443
uncensored,1,1,1444
uncomfortable,2,2,1445
under,11,4,1447
understand,1,1,1451
underwent,2,2,1452
unelected,1,1,1454
unidentified,1,1,1455
united,3,2,1456
universal,1,1,1458
unprecedented,1,1,1459
unthinkable,1,1,1460
until,4,4,1461
unusual,1,1,1465
unwilling,1,1,1466
up,2,2,1467
urged,1,1,1469
uruguay,2,2,1470
used,1,1,1472
van,1,1,1473
very,1,1,1474
vestal,13,4,1475
victim,2,1,1479
videotape,1,1,1480
violation,6,3,1481
violator,1,1,1484
violent,1,1,1485
visit,1,1,1486
visitor,1,1,1487
voted,1,1,1488
vskrt,1,1,1489
waited,1,1,1490
walking,2,2,1491
wallmart,13,4,1493
want,2,1,1497
wanted,1,1,1498
war,3,2,1499
warrant,7,4,1501
watching,1,1,1505
water,1,1,1506
way,1,1,1507
we,3,3,1508
wednesday,3,2,1511
week,1,1,1513
weekend,1,1,1514
well,1,1,1515
went,1,1,1516
were,3,2,1517
western,1,1,1519
what,5,5,1520
whereabout,2,2,1525
which,15,5,1527
while,5,4,1532
whose,1,1,1536
widely,1,1,1537
widened,1,1,1538
will,5,4,1539
window,1,1,1543
wing,1,1,1544
wire,1,1,1545
wish,1,1,1546
withdrew,1,1,1547
word,1,1,1548
work,2,1,1549
would,6,4,1550
yard,3,3,1554
year,13,4,1557
yet,1,1,1561
